Familia,Modelo,Exactitud,F1 macro,Segundos
Arboles,Arbol de decision (prof. 5),0.49032258064516127,0.22125181950509462,0.03
Vectores,SVM kernel lineal,0.47096774193548385,0.31581330073792385,0.15
Vectores,SVM kernel RBF,0.45806451612903226,0.25937091749572905,0.14
Regresion,Regresion logistica (softmax),0.432258064516129,0.30513058785310093,0.11
Regresion,Clasificador Ridge (L2),0.432258064516129,0.3051378446115288,0.09
Red neuronal,MLP 1 capa (32),0.41935483870967744,0.31626340928666513,1.15
Arboles,Random Forest (200 arboles),0.4129032258064516,0.29631178000743214,0.63
Red neuronal,"MLP 2 capas (64,32)",0.34838709677419355,0.27886010941163336,3.4
