Familia,Modelo,R2,RMSE,MAE,Segundos
Arboles,Random Forest (200 arboles),0.968557292687033,0.49727400259514565,0.30753772279324965,5.05
Red neuronal,"MLP 2 capas (64,32)",0.9626177692611692,0.5422110890883441,0.36309596230095864,23.26
Red neuronal,MLP 1 capa (32),0.9585632010892537,0.5708590459148415,0.377157859210881,14.82
Arboles,Arbol de decision (prof. 8),0.9251037556905435,0.7674777765117747,0.528956685218384,0.23
Regresion,Regresion lineal,0.9245792569371745,0.7701604133267805,0.5156240676074537,0.31
Regresion,Regresion Ridge (L2),0.9245783543266096,0.7701650218258328,0.515626947068308,0.2
Vectores,SVR kernel lineal,0.9211732740243646,0.7873585226906392,0.49774323189119185,75.46
Vectores,SVR kernel RBF,0.864175308900323,1.0335349122807527,0.6111992249983829,55.87
